rank,teamName,institution,problemsSolved,totalTime,penalty,isWomanOnly,username
111,Primary_key,Netaji Subhas University of Technology,6,11:33:52,3,false
112,Hetro Sapiens,Rishihood University,6,11:46:58,2,false
113,meow,Indian Institute of Technology Patna,6,11:54:51,5,false
114,ISeePSee,Indian Institute of Technology Dhanbad,6,12:02:38,3,false
115,Wowwies,Dwarkadas Jivanlal Sanghvi College of Engineering,6,12:09:54,7,false
116,Peaky Blinders,"Indian Institute of Information Technology, Allahabad",6,12:18:58,6,false
117,Nip Pulse,"Vishwakarma Institute of Technology, Pune",6,12:19:56,7,false
118,DhruvNnoobs,Datta Meghe College of Engineering,6,12:21:43,3,false
119,Team Teleforces,Indian Institute of Technology Patna,6,12:35:45,8,false
120,PretestTwo,Jadavpur University,6,12:45:14,3,false
121,TRIEfecta,M S Ramaiah Institute of Technology,6,13:04:30,11,false
122,Enigma,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",6,13:56:48,8,false
123,Snack Overflow,Indian Institute of Information Technology Tiruchirappalli,6,14:02:48,2,false
124,Chota Haathi,"Delhi Skill and Entrepreneurship University
",6,14:19:35,8,false
125,The three tier coders,Jalpaiguri Government Engineering College,6,15:17:46,4,false
126,69/70TestCasesPassed,"Manipal Institute of Technology, Manipal",6,15:26:48,9,false
127,SegThreee,"Indian Institute of Information Technology, Surat",6,15:51:30,10,false
128,DP,Dr. BR Ambedkar National Institute of Technology,6,16:21:00,6,false
129,Velaris,Bundelkhand Institute of Engineering and Technology,6,16:32:49,5,false
130,NamePending,"International Institute of Information Technology, Hyderabad",5,03:37:06,0,false
131,FFT IIITD,"Indraprastha Institute of Information Technology, Delhi",5,03:53:07,0,false
132,Placeholder,Indian Institute of Technology (BHU) Varanasi,5,04:15:11,1,false
133,void *(*(*(**x[])())[])(),"Birla Institute of Technology & Science Pilani, Hyderabad Campus",5,04:40:28,0,false
134,ICPCmaxxing,National Institute of Technology Silchar,5,04:43:25,2,false
135,Placed,Indian Institute of Technology Patna,5,04:48:05,1,false
136,Probabilistic Losers,Nirma University,5,05:21:14,2,false
137,StrawHatz,VNR Vignana Jyothi Institute of Engineering and Technology,5,05:22:58,2,false
138,scoops troop,"Indian Institute of Information Technology, Nagpur",5,05:26:30,2,false
139,neela_hai_aasman,Army Institute of Technology,5,05:29:46,3,false
140,CODEGEEKS,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",5,06:21:02,2,false
141,Straw_hat_Pirates,Motilal Nehru National Institute of Technology Allahabad,5,06:46:44,2,false
142,CodeWIZ,"International Institute of Information Technology, Hyderabad",5,06:51:17,4,false
143,Exceptionals,"Indian Institute of Information Technology, Nagpur",5,06:52:51,4,false
144,Queue Underflow,Scaler School Of Technology,5,07:02:37,4,false
145,RRR,Delhi Technological University,5,07:07:59,4,false
146,CodeForced,"Indian Institute of Engineering Science and Technology, Shibpur",5,07:09:04,2,false
147,JMD,"Birla Institute of Technology & Science Pilani, Goa Campus",5,07:14:04,2,false
148,__Infinity_,Army Institute of Technology,5,07:22:55,3,false
149,The Forkers,National Institute of Technology Raipur,5,07:23:56,3,false
150,Damodar,"Jawaharlal Nehru University, New Delhi",5,07:25:23,2,false
151,EXCEPTION EXORCISTS,"Indian Institute of Technology, Tirupati",5,08:07:29,4,false
152,Compile and Conquer,"Indian Institute of Technology, Bhubaneswar",5,08:32:29,2,true
153,Verbatim,"Vishwakarma Institute of Technology, Pune",5,09:07:12,4,true
154,TLE_ka O(mlette),Chennai Mathematical Institute,5,09:15:09,5,true
155,__O(3)__,Pimpri Chinchwad College of Engineering,5,09:42:09,2,true
156,Haigure Haigure,Scaler School Of Technology,5,09:54:42,4,true
157,Inversions,"Graphic Era Hill University, Dehradun",5,09:59:12,5,true
158,Stardust Crusaders,National Institute of Technology Warangal,5,10:08:11,4,true
159,Pretesters,"KIET Group of Institutions, Ghaziabad",5,10:12:58,4,true
160,TLE_Pretest11,"Indian Institute of Information Technology, Ranchi",5,10:14:16,7,true
161,arrow_head_,Army Institute of Technology,5,10:57:23,8,true
162,Bipartite Boys,National Institute of Technology Karnataka,5,11:13:40,8,false
163,BinaryBrains 2.0,K L University,5,14:00:18,8,true
164,gotta_WA_em_all,"International Institute of Information Technology, Naya Raipur",5,14:46:31,6,true
165,Forge,"Indian Institute of Information Technology, Una",4,02:08:16,0,true
166,Ec_warriors,Motilal Nehru National Institute of Technology Allahabad,4,02:09:56,0,true
167,Algorithm Acharyas,National Institute of Technology Agartala,4,02:19:22,1,true
168,TLE_gives_tears,"Vellore Institute of Technology, Chennai",4,03:00:03,0,false
169,is_it_so?,Manav Rachna University,4,03:07:25,2,false
170,Byte Buddies,"BMS College of Engineering, Bangalore",4,03:13:37,2,true
171,TreepyTreaps,"Pandit Deendayal Energy University, Gandhinagar",4,03:33:14,0,true
172,Fake_Coders,"Indian Institute of Information Technology, Allahabad",4,03:41:07,0,true
173,Lazy Propagators,"Indian Institute of Information Technology, Bhagalpur",4,03:41:15,1,true
174,The Windblown,"Sardar Patel Institute Of Technology, Mumbai",4,03:53:09,1,true
175,Tripod,"National Institute of Technology, Jamshedpur",4,04:00:03,1,true
176,Outlaws,Thapar Institute of Engineering and Technology,4,04:00:35,1,true
177,echo CP,National Institute of Technology Tiruchirappalli,4,04:02:19,2,false
178,System Reboot,RNS Institute of Technology,4,04:14:41,1,false
179,Hugs For Bugs,Graphic Era University,4,04:17:30,2,false
180,Lazy propagators,"Indian Institute of Information Technology, Nagpur",4,04:17:31,3,false
181,SweetCODE,"Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli",4,04:32:49,2,false
182,Mavericks45,"MIT Academy of Engineering, Alandi",4,04:42:51,1,false
183,Do chai ek coffee,Indian Institute of Technology Patna,4,04:43:23,1,false
184,Algo Primes,Indian Institute of Information Technology Guwahati,4,04:50:17,0,false
185,AlphaQ,"Indian Institute of Information Technology, Kota",4,04:50:58,2,false
186,binary_lifters,"Indian Institute of Information Technology, Kottayam",4,05:04:56,2,false
187,Spec 3,"Visvesvaraya National Institute of Technology, Nagpur",4,05:17:02,3,false
188,who cares,Scaler School Of Technology,4,05:18:04,1,false
189,TEAM_X,"Harcourt Butler Technical University, Kanpur",4,05:24:02,4,false
190,Brahmaputra,National Institute of Technology Silchar,4,05:30:18,3,false
191,ToBeDecided,"Vellore Institute of Technology, Bhopal",4,05:46:54,5,false
192,I_C_Pookiesss,"Marathwada Mitra Mandal's College of Engineering, Pune",4,05:53:02,1,false
193,Sudo Delete Bios,National Institute of Technology Warangal,4,06:01:02,2,false
194,Lazy_Propagators,"Government College of Engineering and Leather Technology, Kolkata",4,06:10:39,7,false
195,fafda,"Dharmsinh Desai University, Nadiad",4,06:22:35,1,false
196,Pathfinders2k24,"Rashtreeya Vidyalaya College of Engineering, Bangalore",4,06:51:52,5,false
197,Ice Cold,"Indian Institute of Information Technology, Una",4,06:57:47,5,false
198,AlgoARP,"Shiv Nadar University, Chennai",4,07:00:59,3,false
199,Bit by Bit,Sharda University,4,07:04:09,0,false
200,Runtimesleuths,"Maharaja Agrasen Institute of Technology, New Delhi",4,07:36:57,4,false
201,chinki_shinki,"Indian Institute of Information Technology, Una",4,07:39:29,3,false
202,Code_Crafters,"Maulana Azad National Institute of Technology, Bhopal",4,07:42:39,3,false
203,Levi Squad,ABV - Indian Institute of Information Technology and Management Gwalior,4,08:10:23,1,false
204,ERROR404,"Indian Institute of Engineering Science and Technology, Shibpur",4,10:14:50,7,false
205,TechnoTitans,"Indian Institute of Information Technology, Kota",4,11:56:38,9,false
206,bug_bounty,"Vellore Institute of Technology, Chennai",3,03:11:20,1,false
207,Ctrl+Alt+Defeat,RV Institute of Technology and Management,3,03:18:10,2,false
208,random(3),Indian Institute of Technology Ropar,3,03:19:10,1,false
209,intutive,Chitkara University,3,03:56:59,3,false
210,Geeky Nerds,"BML Munjal University, Gurgaon",3,04:38:10,3,false
211,BitByeBit,M S Ramaiah Institute of Technology,3,05:58:59,2,false
212,whoCares,"Sardar Vallabhbhai National Institute of Technology, Surat",3,06:47:03,5,false
213,Proof by AC,"Graphic Era Hill University, Dehradun",2,01:10:33,0,false
214,Coding Pirates,"GLA University, Mathura",2,01:50:04,1,false
215,Code Alchemy,Thapar Institute of Engineering and Technology,2,04:33:51,5,false
216,Code Chicks,Anil Neerukonda Institute of Technology and Sciences,1,00:35:12,0,false
217,Binary Coders,"PES College of Engineering, Mandya",1,03:33:56,2,false
