teamId,teamName,institution,site,isWomenOnly
1078804,BWU Coders,Brainware University,Mysuru,false
1095311,Byte Coders,Indian Institute of Information Technology Guwahati,Amritapuri,false
1093175,Byte me harder,"Lakshmi Narain College of Technology,Bhopal",Bangalore,false
1094707,ByteMeSofter,"National Institute of Technology Karnataka, Surathkul",Amritapuri,false
1106084,Bytemonks,"P.E.S. College of Engineering, Mandya",Mysuru,false
1082077,Cache us if you can,Sri Sivasubramaniya Nadar College of Engineering,Mysuru,false
1082223,Can't Decide A Name,COEP Technological University,Bangalore,false
1096526,cantreachCM,Indian Institute of Technology - Bombay,Bangalore,false
1084338,Car Bhavani,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,Amritapuri,false
1091064,Catalyst,International Institute of Information Technology Bhubaneswar,Mysuru,false
1094698,Catch The Hackers,Sri Sivasubramaniya Nadar College of Engineering,Bangalore,false
1105063,chatur,Rishihood University,Coimbatore,false
1105490,chocolava,Indian Institute of Technology - Guwahati,Amritapuri,true
1089631,Chokers,Punjab Engineering College Chandigarh,Bangalore,false
1088385,Chomsky's Disciples,Indian Institute of Technology Bhilai,Amritapuri,false
1086642,Code Alchemy,Thapar Institute of Engineering & Technology,Coimbatore,false
1090772,code_forces,Maharaja Agrasen Institute of Technology,Amritapuri,false
1091439,Code_Forgers,Maulana Azad National Institute of Technology Bhopal,Mysuru,false
1079148,Code_Optimizer,Birla Vishvakarma Mahavidyalaya Engineering College,Mysuru,false
1091467,Codeblasters,"Indian Institute of Science, Bangalore",Amritapuri,false
1082258,Codeblooded,Aditya Engineering College,Amritapuri,true
1087922,CodeBreakers,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,Bangalore,false
1092848,CodeClan,National Institute of Technology - Agartala,Amritapuri,false
1092541,Codecrafters 2.0,Indian Institute of Technology - Indore,Amritapuri,false
1115607,CodeRush,Pune Institute of Computer Technology,Amritapuri,false
1078084,CodeWarriors28,Indian Institute of Technology - Kharagpur,Bangalore,false
1097164,CodeWitches,Indian Institute of Technology - Patna,Bangalore,true
1105439,Compile Crew,Indian Institute of Information Technology Bhopal,Mysuru,false
1097801,Compile Lords,"National Institute of Technology, Kurukshetra",Amritapuri,false
1092452,CP Karoge to Maroge,"National Institute of Technology, Jamshedpur",Bangalore,false
1088538,cp_karo,Delhi Technological University(Formerly DCE),Coimbatore,false
1089867,cpaglus,International Institute of Information Technology - Naya Raipur,Coimbatore,false
1080352,cpholic,Indira Gandhi Delhi Technical University for Women,Amritapuri,false
1077287,The Dark Knights,Coimbatore Institute of Technology,Coimbatore,false
1106146,Ctrl+Alt+AC,"National Institute of Technology, Durgapur",Amritapuri,false
1093179,CtrlAltDel,BITS Digital,Coimbatore,false
1115199,DasalaMosa,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Amritapuri,false
1081352,Debug Dragons,Sri Eshwar College of Engineering,Mysuru,false
1085482,Ded_Neurons,"National Institute of Technology, Raipur",Bangalore,false
1078602,defineintll,National Institute of Technology Tiruchirappalli,Coimbatore,false
1088309,Delta,VNR Vignana Jyothi Institute of Engineering & Technology,Amritapuri,false
1087848,Depletion Maximum,Indian Institute of Information Technology Pune,Bangalore,false
1089679,DiceStraw,"Indian Institute of Technology, Madras",Coimbatore,false
1083456,dinoxors,Indian Institute of Technology - Indore,Amritapuri,false
1096723,Dior Samaaj,Indian Institute of Information Technology Guwahati,Bangalore,false
1077857,Div4Maxxer,Indian Institute of Technology - Kharagpur,Amritapuri,false
1105941,Divide & Conquerors,"Walchand College of Engineering, Sangli",Bangalore,false
1085916,Divine WA to AC,JIS University,Bangalore,false
1086439,DNY,International Institute of Information Technology - Bangalore,Amritapuri,true
1093271,DP_Lovers,Kamla Nehru Institute of Technology,Mysuru,false
1082325,Ec_warriors,Motilal Nehru National Institute of Technology - Allahabad,Amritapuri,false
1109542,EliteS,"Birla Institute of Technology, Jaipur",Mysuru,false
1109485,elPlagio,"Indian Institute of Information Technology, Tiruchirappalli",Amritapuri,false
1086391,evils_squad,"Indian Institute of Technology (ISM), Dhanbad",Bangalore,true
1115353,EXCEPTION EXCORCISTS,Indian Institute of Technology Tirupati,Coimbatore,false
1095216,exeCuties,"Manipal Institute of Technology, Manipal",Amritapuri,false
1105082,Explorer_RJITians,Rustamji Institute of Technology,Mysuru,false
1092291,Eyes_e_peace_e,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",Bangalore,false
1096316,Fork Me Hard,Vishwakarma Institute of Technology,Amritapuri,false
1095525,Freaksinthesheetz,Sardar Vallabhbhai National Institute of Technology,Coimbatore,false
1076566,Fullmetal Coders,VIT Bhopal University,Amritapuri,false
1105401,GDSC_RCOEM_CP,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Coimbatore,false
1094983,Ghafoor,Indian Institute of Information Technology Bhopal,Amritapuri,false
1092164,Ginger,"Indian Institute of Information Technology, Sri City, Chittoor",Mysuru,false
1103484,Global Hacker,KIET GROUP OF INSTITUTIONS,Coimbatore,false
1101893,Golden Eagle,Indian Institute of Technology - Roorkee,Amritapuri,false
1094709,Bitwise,Bhagwan Parshuram Institute of Technology,Coimbatore,false
1105783,Greedy,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",Bangalore,false
1104352,Greedy_Slayers,KIIT University,Mysuru,false
1080741,Greedy3,Delhi Technological University(Formerly DCE),Coimbatore,false
1085182,GreedyBits,IIIT Vadodara,Bangalore,false
1085821,GreedyVPN,Shiv Nadar University Chennai,Mysuru,false
1078723,hack2win,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",Coimbatore,false
1101298,hamara_edge_case,Swami Vivekananda Yoga Anusandhana Samsthana,Mysuru,false
1094755,hehe i do cp,Indian Institute of Technology - Roorkee,Amritapuri,false
1112743,Hello World,"National Institute of Technology, Warangal",Coimbatore,false
1115539,HEXA,Shiv Nadar University,Bangalore,false
1088141,hope_is_np_hard,Veermata Jijabai Technological Institute,Bangalore,false
1092808,HumbleCoders,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai",Mysuru,false
1115881,Ice22,"Indian Institute of Information Technology, Una",Amritapuri,false
1088904,icey peicy,Chandigarh University,Bangalore,false
1088815,icpc losers,Indian Institute of Technology - Delhi,Bangalore,false
1105120,ICPC**2,"International Institute of Information Technology, Hyderabad",Amritapuri,false
1086293,ICPC<<3,"Vellore Institute of Technology, Chennai",Coimbatore,false
1081387,iitLongowal,Sant Longowal Institute of Engineering and Technology,Coimbatore,false
1096166,Incompetent,IIIT Vadodara,Amritapuri,false
1093244,Inteqam,Indian Institute of Information Technology Allahabad,Bangalore,false
1096773,Internship_reqd,Graphic Era Hill University,Bangalore,false
1094939,IseePCs,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai",Bangalore,false
1090234,ITI_Bihta,Indian Institute of Technology - Patna,Bangalore,false
1115584,JAKers,Indian Institute of Technology - Guwahati,Amritapuri,false
1086981,JMD,Graphic Era University,Amritapuri,false
1091728,JMD1,"BITS-Pilani, Goa Campus",Bangalore,false
1087327,just_better,Indian Institute of Technology - Bombay,Amritapuri,false
1107871,Kaaju Kishmish,Indian Institute of Technology - Guwahati,Amritapuri,false
1091217,Kache Aam,Indian Institute of Information Technology Kota,Coimbatore,false
1114105,Kaju Katli,"National Institute of Technology, Calicut",Coimbatore,false
1086040,Kal_Batayenge,Rishihood University,Coimbatore,false
1114537,Kashmir Coders,"National Institute of Technology, Srinagar",Amritapuri,false
1090563,Katta_Fighters,"Kalinga Institute Of Industrial Technology,Bhubaneswar",Amritapuri,false
1086441,Khokhla Ghudsawaar,International Institute of Information Technology - Bangalore,Coimbatore,false
1115980,KleeneStar,Indian Institute of Technology Jammu,Bangalore,false
1086894,Kodars Klub,"Walchand College of Engineering, Sangli",Amritapuri,false
1114715,kuchBhi!!!,"Harcourt Butler Technical University, Kanpur",Bangalore,false
1092173,kzzouka,"Birla Institute of Technology and Science, Pilani Campus",Bangalore,false
1091310,L-70's,Madan Mohan Malaviya University of Technology,Mysuru,false
1092207,LAL Fund,Indian Institute of Information Technology Allahabad,Bangalore,false
1096149,langchain,Manav Rachna International Institute of Research and Studies,Amritapuri,false
1103903,Last Dance,IIIT Vadodara-International Campus Diu,Coimbatore,false
1086248,Last Submission,"Jaypee University of Engineering and Technology, Guna",Coimbatore,false
1080363,LastFight,BIT Sindri,Mysuru,false
1107907,lazy three,"International Institute of Information Technology, Hyderabad",Amritapuri,false
1092208,Level,Indian Institute of Information Technology Allahabad,Amritapuri,false
1098367,Litti Chokers,Indian Institute of Technology - Kanpur,Bangalore,false
1085043,locho,Dharmsinh Desai Institute of Technology,Coimbatore,false
1111214,Lords of the North,"National Institute of Technology, Patna",Bangalore,false
1088119,Maa Anjaneya,"Institute of Engineering & Technology, Lucknow",Bangalore,false
1093012,Malai Chaap Extra Masala,Indian Institute of Technology - Roorkee,Bangalore,false
1109105,man.forces,Indian Institute of Technology - Varanasi,Amritapuri,false
1095053,maniACs,Indian Institute of Technology - Gandhinagar,Bangalore,false
1092014,mdspan,"Indian Institute of Information Technology, Sri City, Chittoor",Bangalore,false
1102180,missingSemiColon,JECRC University,Coimbatore,false
1094956,N_Cube,Pandit Deendayal Energy University,Amritapuri,false
1085289,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad",Amritapuri,false
1085061,Namaste World,Nirma University,Amritapuri,false
1099393,Nap Stack,Netaji Subhas University Of Technology,Coimbatore,false
1089684,nC3,"Indian Institute of Technology, Madras",Amritapuri,false
1091915,neela_hai_aasman,Army Institute of Technology,Amritapuri,false
1085943,NEWBIE,Rajkiya Engineering College Sonbhadra,Mysuru,false
1078872,NewBies,IIT Bhubaneswar,Bangalore,false
1091738,NEWBIES,"Indian Institute of Information Technology, Surat",Mysuru,false
1105107,nith coders,"National Institute of Technology, Hamirpur",Amritapuri,false
1095519,NITM,National Institute of Technology Meghalaya,Coimbatore,false
1089938,No_Clubs_Needed,"Ajay Kumar Garg Engineering College, Ghaziabad",Coimbatore,false
1083210,not qualified,Indian Institute of Technology - Varanasi,Amritapuri,false
1092450,not_this_time,The LNM Institute of Information Technology,Amritapuri,false
1078459,NP-Hardcore,KIET GROUP OF INSTITUTIONS,Bangalore,false
1097001,npc,Indian Statistical Institute,Amritapuri,false
1095074,O(3),Indian Institute of Technology - Bombay,Amritapuri,true
1094715,O(n)ionParatha,"National Institute of Technology Karnataka, Surathkul",Amritapuri,false
1091992,O(NO),Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior,Bangalore,false
1087666,OddOneOut,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,Amritapuri,false
1085159,OnlyYou,Indian Institute of Technology - Ropar,Bangalore,false
1095912,OopsWeACedIt,Indian Institute of Technology Dharwad,Bangalore,false
1078278,P&F,"Indian Institute of Engineering Science and Technology, Shibpur",Coimbatore,false
1088621,Paanwadi,Sardar Patel Institute of Technology,Coimbatore,false
1084250,PECuliar Punjabi,Punjab Engineering College Chandigarh,Bangalore,false
1087958,Peri Peri Fries,Indian Institute of Technology - Varanasi,Amritapuri,false
1089711,phirse lite lo,"Birla Institute of Technology and Science, Pilani Campus",Bangalore,false
1094800,Phoenix,Vardhaman College of Engineering,Bangalore,false
1091741,Pixar,"Indian Institute of Information Technology, Surat",Mysuru,false
1103488,PKY,PES University,Mysuru,false
1108173,PlusUltra07,Pranveer Singh Institute of Technology,Coimbatore,false
1093901,postesters2,"Vellore Institute of Technology, Chennai",Coimbatore,false
1093914,PPA-46ms,"Indian Institute of Technology, Madras",Amritapuri,false
1086733,PretestOne,"Jadavpur University, Kolkata",Bangalore,false
1080097,Prime Numbers,Shri Guru Gobind Singhji Institute of Engineering and Technology,Coimbatore,false
1096304,Prime Optimizers,Jamia Milia Islamia,Mysuru,false
1112313,Prime Vector,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Coimbatore,false
1111422,ProdDestroyer,Pranveer Singh Institute of Technology,Amritapuri,false
1111354,project mayhem,"Indian Institute of Information Technology and Management, Gwalior",Bangalore,false
1097181,PSM_KKR,"National Institute of Technology, Kurukshetra",Bangalore,false
1086853,PurpleSector3,"Pimpri Chinchwad College of Engineering, Pune",Bangalore,false
1091921,qChaltiHaiPavan,Army Institute of Technology,Coimbatore,false
1089152,queue_T_pie,Vishwakarma Institute of Technology,Mysuru,false
1114269,RAG,PSG Institute of Technology and Applied Research,Bangalore,false
1095078,Rainforest,Netaji Subhas University Of Technology,Coimbatore,false
1083399,Random_Page,"National Institute of Technology, Warangal",Coimbatore,false
1090998,retiredx3,"Indian Institute of Information Technology, Lucknow",Bangalore,false
1087145,Right Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology,Amritapuri,false
1090056,RuntimeTerrors,National Institute of Technology Tiruchirappalli,Coimbatore,false
1097278,Ryu,Ajeenkya DY Patil University,Coimbatore,false
1084610,SAKE,Ajeenkya DY Patil University,Mysuru,false
1110404,SayMyName,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",Bangalore,false
1092273,Sea++,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",Bangalore,false
1086361,SegFault,COEP Technological University,Mysuru,false
1092074,SegFault@IITB,Indian Institute of Technology - Bombay,Amritapuri,false
1093111,Segment Three,DJ Sanghvi College of Engineering,Coimbatore,false
1080775,Segment_Fault,"National Institute of Technology, Silchar",Amritapuri,false
1079141,Semicolon Survivors,Pune Institute of Computer Technology,Coimbatore,false
1088231,SetBits111,"Ajay Kumar Garg Engineering College, Ghaziabad",Coimbatore,false
1091878,SHAN,Indian Institute of Technology Goa,Bangalore,false
1091407,Simple_Learners,Maulana Azad National Institute of Technology Bhopal,Coimbatore,false
1107650,Siwei,KLE Technological University,Mysuru,false
1092896,skill tissue,Indian Institute of Technology - Roorkee,Amritapuri,false
1095475,skill_issue,Sardar Vallabhbhai National Institute of Technology,Amritapuri,false
1092511,Slendermen,Indian Institute of Technology - Hyderabad,Amritapuri,false
1093338,snackoverflow,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology,Coimbatore,false
1102271,SneakyGolem,Indian Institute of Technology - Mandi,Bangalore,false
1108441,Sol Invictus,Indian Institute Of Technology Jodhpur,Bangalore,true
1087153,Sorted Array,"Indian Institute of Technology (ISM), Dhanbad",Amritapuri,false
1092351,SpeedyGreedy,Indian Institute of Technology - Patna,Amritapuri,false
1109634,SSD,National Institute of Technology Rourkela,Amritapuri,false
1101773,Stack Overflow,"Indian Institute of Information Technology, Sonepat",Coimbatore,false
1091378,Stacklash,Madan Mohan Malaviya University of Technology,Amritapuri,false
1084029,std::__builtin_orz,Indian Institute of Information Technology Kottayam,Bangalore,false
1090993,Stone,"Indian Institute of Information Technology, Lucknow",Bangalore,false
1095590,struggling experts,Indian Institute of Technology - Varanasi,Bangalore,false
1077285,STUCKED_IN_TLE,Raj Kumar Goel Institute of Technology,Amritapuri,false
1091335,Submit kar de,Indian Institute of Information Technology Pune,Bangalore,false
1092516,SurveyCorps,"National Institute of Technology, Jamshedpur",Bangalore,false
1090816,Synergy,Indian Institute of Technology - Gandhinagar,Amritapuri,false
1076489,Syntex Errorists,ITS Engineering College,Mysuru,false
1093992,System Testing 2.0,Jaipur Engineering College & Research Centre,Coimbatore,false
1091687,taispmoiclfrbrurntshkspr,IIIT-Delhi,Coimbatore,false
1085139,TBH,Indian Institute of Technology - Ropar,Bangalore,false
1086429,team,International Institute of Information Technology - Bangalore,Coimbatore,false
1088382,Team - Blitz,Indian Institute of Technology Bhilai,Bangalore,false
1079685,Team HAM,Thapar Institute of Engineering & Technology,Amritapuri,false
1115526,Team Name Not Found,"Indian Institute of Information Technology, Tiruchirappalli",Coimbatore,false
1093275,Team Skyfall,Sardar Patel Institute of Technology,Bangalore,false
1084711,Team Teleforces,Indian Institute of Technology - Patna,Amritapuri,false
1078111,Team X-Force,"Pimpri Chinchwad College of Engineering, Pune",Coimbatore,false
1111615,TeamRocket,Vivekanand Education Society’s Institute of Technology,Mysuru,false
1088544,TeamSOIT,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Coimbatore,false
1093176,Tech Team,BITS Digital,Bangalore,false
1089691,The Blasters,"Indian Institute of Technology, Madras",Amritapuri,false
1079304,The Holy Trie-Nity,IIT Bhubaneswar,Bangalore,false
1081062,The Invariants,Vyavsayi Vidhya Pratishthan Engineering College,Mysuru,false
1091846,The Lazy Coders,Indian Institute of Technology Goa,Amritapuri,false
1092481,The Lost Semicolon,"National Institute of Technology, Raipur",Amritapuri,false
1091829,The NOT Operators,"Indian Institute of Science, Bangalore",Mysuru,false
1092540,The Segmentors,Indian Institute of Technology - Indore,Amritapuri,false
1091685,The Sidekicks,IIIT-Delhi,Amritapuri,false
1092324,The141,Jaypee Institute of Information Technology,Bangalore,false
1092312,TheStrawHats,Jaypee Institute of Information Technology,Amritapuri,false
1095022,Three Musketeers,Indira Gandhi Delhi Technical University for Women,Coimbatore,false
1083174,Time Complexity Mafia,Motilal Nehru National Institute of Technology - Allahabad,Coimbatore,false
1081740,Titans,Malaviya National Institute of Technology Jaipur,Bangalore,false
1090974,TLE.exe,Indian Institute Of Information Technology Agartala,Mysuru,false
1076714,Tortoise_trio,"Jadavpur University, Kolkata",Bangalore,false
1095613,Totally Cooked,Indian Institute of Information Technology Kota,Mysuru,false
1089226,TOURISTS,Indian Institute of Technology - Delhi,Amritapuri,false
1105199,Trie Again,"Birla Institute of Technology, Mesra",Coimbatore,false
1092814,Trie hard,Gujarat Technological University,Mysuru,false
1084038,TRIEfecta,M.S. Ramaiah Institute of Technology,Amritapuri,false
1085655,TriHashers,"National Institute of Engineering, Mysore",Bangalore,false
1087652,Triple_Debug,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology,Amritapuri,false
1094972,TripleEyeTea_DMK,"Indian Institute of Information Technology Design and Manufacturing, Kurnool",Bangalore,false
1093048,tripleH,Indian Institute of Technology - Patna,Amritapuri,false
1089947,TuntunMausi,Indian Institute of Technology - Delhi,Amritapuri,false
1087478,Twenchy_k_momos,Graphic Era University,Amritapuri,false
1088753,Underdogs,Chandigarh University,Amritapuri,false
1093327,varutha meen,"BITS-Pilani, Hyderabad Campus",Amritapuri,false
1093831,Vec3,Indian Institute of Information Technology Kottayam,Bangalore,false
1089932,void,Indian Institute of Science Education and Research Bhopal,Coimbatore,false
1085418,Void main(),Government College of Engineering and Leather Technology,Bangalore,false
1091643,vorp,Veermata Jijabai Technological Institute,Amritapuri,false
1081093,WA till TLE,"University Institute of Engineering and Technology, Panjab University",Amritapuri,false
1097646,WA.on.pretest.4,Indian Institute of Technology - Kanpur,Amritapuri,false
1093127,Waluigi,Indian Institute of Technology - Hyderabad,Amritapuri,false
1080281,WAonPretest1,Dayananda Sagar College of Engineering,Coimbatore,false
1078579,WATOAC,"Government College of Engineering, Aurangabad, Maharashtra",Mysuru,false
1091684,Weak Testcase,IIIT-Delhi,Amritapuri,false
1081100,While(true) {TLE;},"Bundelkhand Institute of Engineering & Technology, Jhansi",Bangalore,false
1091990,WhoCares,Indian Institute of Technology - Patna,Amritapuri,false
1085932,Winners,BIT Mesra - Deoghar Campus,Amritapuri,false
1094776,Wowwies,DJ Sanghvi College of Engineering,Bangalore,false
1094913,wreckers,"GOVERNMENT COLLEGE OF ENGINEERING SRIRANGAM, TRICHY - 620012",Mysuru,false
1080280,XORcists,Dayananda Sagar College of Engineering,Coimbatore,false
1101489,Yamuna Kinare,"National institute of Technology, Uttarakhand",Mysuru,false
1105114,YE DP NAHI HOGA,"Birla Institute of Technology, Mesra",Mysuru,false
1097211,yetSomeProblemsLeft,Nirma University,Coimbatore,false
1089224,Young Dumb and Broke,International Institute of Information Technology - Naya Raipur,Mysuru,false
1080145,youwannaplay?letsplay,Indian Institute of Technology - Kharagpur,Bangalore,false
1088682,ZeroDay,"Indian Institute of Information Technology, Una",Coimbatore,false
1085102,ZetaMind,PES University,Amritapuri,false
